State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
Maharashtra,Ahmednagar,2025-05-02,2025,05,12.8366256736,NRSC VIC MODEL
Maharashtra,Ahmednagar,2025-05-09,2025,05,13.9394254241,NRSC VIC MODEL
Maharashtra,Ahmednagar,2025-05-15,2025,05,20.0032330677,NRSC VIC MODEL
Maharashtra,Ahmednagar,2025-05-16,2025,05,21.4641563222,NRSC VIC MODEL
Maharashtra,Ahmednagar,2025-05-26,2025,05,31.5139404472,NRSC VIC MODEL
Maharashtra,Akola,2025-05-01,2025,05,15.6650965374,NRSC VIC MODEL
Maharashtra,Akola,2025-05-08,2025,05,15.9871171289,NRSC VIC MODEL
Maharashtra,Akola,2025-05-18,2025,05,23.3878199518,NRSC VIC MODEL
Maharashtra,Akola,2025-05-23,2025,05,29.9246837796,NRSC VIC MODEL
Maharashtra,Amravati,2025-05-05,2025,05,16.7487048773,NRSC VIC MODEL
Maharashtra,Amravati,2025-05-17,2025,05,23.9276577935,NRSC VIC MODEL
Maharashtra,Amravati,2025-05-21,2025,05,27.0562475248,NRSC VIC MODEL
Maharashtra,Amravati,2025-05-26,2025,05,30.862006386,NRSC VIC MODEL
Maharashtra,Amravati,2025-05-28,2025,05,35.2931102624,NRSC VIC MODEL
Maharashtra,Aurangabad,2025-05-03,2025,05,14.0511681104,NRSC VIC MODEL
Maharashtra,Aurangabad,2025-05-20,2025,05,25.675979316,NRSC VIC MODEL
Maharashtra,Aurangabad,2025-05-23,2025,05,26.6005166373,NRSC VIC MODEL
Maharashtra,Beed,2025-05-03,2025,05,13.812376505,NRSC VIC MODEL
Maharashtra,Beed,2025-05-05,2025,05,13.7783397096,NRSC VIC MODEL
Maharashtra,Beed,2025-05-22,2025,05,27.4840781562,NRSC VIC MODEL
Maharashtra,Bhandara,2025-05-02,2025,05,14.217145404,NRSC VIC MODEL
Maharashtra,Bhandara,2025-05-05,2025,05,16.8130023036,NRSC VIC MODEL
Maharashtra,Bhandara,2025-05-06,2025,05,16.9966635693,NRSC VIC MODEL
Maharashtra,Bhandara,2025-05-07,2025,05,17.1302031885,NRSC VIC MODEL
Maharashtra,Bhandara,2025-05-15,2025,05,16.3503369466,NRSC VIC MODEL
Maharashtra,Bhandara,2025-05-23,2025,05,21.8553482251,NRSC VIC MODEL
Maharashtra,Bhandara,2025-05-30,2025,05,27.0220782561,NRSC VIC MODEL
Maharashtra,Buldhana,2025-05-02,2025,05,14.7694310188,NRSC VIC MODEL
Maharashtra,Buldhana,2025-05-06,2025,05,15.3167899881,NRSC VIC MODEL
Maharashtra,Buldhana,2025-05-17,2025,05,25.3756050011,NRSC VIC MODEL
Maharashtra,Buldhana,2025-05-23,2025,05,29.5135281801,NRSC VIC MODEL
Maharashtra,Buldhana,2025-05-24,2025,05,30.3395895225,NRSC VIC MODEL
Maharashtra,Buldhana,2025-05-26,2025,05,30.1801087533,NRSC VIC MODEL
Maharashtra,Buldhana,2025-05-27,2025,05,29.0031864411,NRSC VIC MODEL
Maharashtra,Chandrapur,2025-05-02,2025,05,15.2717893241,NRSC VIC MODEL
Maharashtra,Chandrapur,2025-05-05,2025,05,18.6463334021,NRSC VIC MODEL
Maharashtra,Chandrapur,2025-05-21,2025,05,20.9369406017,NRSC VIC MODEL
Maharashtra,Chandrapur,2025-05-25,2025,05,28.1941363262,NRSC VIC MODEL
Maharashtra,Chandrapur,2025-05-28,2025,05,30.2921839565,NRSC VIC MODEL
Maharashtra,Dhule,2025-05-04,2025,05,10.282662211,NRSC VIC MODEL
Maharashtra,Dhule,2025-05-09,2025,05,13.3151276122,NRSC VIC MODEL
Maharashtra,Dhule,2025-05-20,2025,05,28.6119875999,NRSC VIC MODEL
Maharashtra,Dhule,2025-05-24,2025,05,27.2641470903,NRSC VIC MODEL
Maharashtra,Gadchiroli,2025-05-01,2025,05,18.8341446223,NRSC VIC MODEL
Maharashtra,Gadchiroli,2025-05-08,2025,05,21.1705773149,NRSC VIC MODEL
Maharashtra,Gadchiroli,2025-05-09,2025,05,21.2504010954,NRSC VIC MODEL
Maharashtra,Gadchiroli,2025-05-30,2025,05,25.2767542872,NRSC VIC MODEL
Maharashtra,Gondia,2025-05-08,2025,05,21.2798581473,NRSC VIC MODEL
Maharashtra,Gondia,2025-05-09,2025,05,20.8120529907,NRSC VIC MODEL
Maharashtra,Gondia,2025-05-19,2025,05,22.8920402314,NRSC VIC MODEL
Maharashtra,Gondia,2025-05-23,2025,05,26.1660352104,NRSC VIC MODEL
Maharashtra,Gondia,2025-05-24,2025,05,26.7977122975,NRSC VIC MODEL
Maharashtra,Hingoli,2025-05-03,2025,05,16.286730666,NRSC VIC MODEL
